No.,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,TK PRIA,TK WANITA,TOTAL TK,JENIS USAHA
835,Ria Djenaka RM.,Jl. Bandung 5,16,8,24,Perdagangan/ Restoran
836,"Sari Melati Kencana (Pizza Hut) , PT.",Jl. Semeru 37,26,15,41,Perdagangan/ Restoran
837,Sari Melati Kencana / Pizza Hut,Jl. Ciliwung 1,30,12,42,Perdagangan/ Restoran
838,Waroeng Steak Shake,Jl. Sukarno Hatta 14,0,0,0,Perdagangan/ Restoran
839,Waroeng Steak Shake,Jl. Kawi Bawah 18,0,0,0,Perdagangan/ Restoran
840,Warung Mungil,Jl. JA. Suprapto 60 A,9,9,18,Perdagangan/ Restoran
841,"Alfa Retalindo , PT./ Carefour",Jl. A. Yani 2,29,17,46,Perdagangan/ Retail
842,"Alfa Retalindo / Carefour, PT.",Jl. KH. Agussalim 10-16,26,16,42,Perdagangan/ Retail
843,Giant Supermarket,Jl. MT. Haryono 145,28,13,41,Perdagangan/ Retail
844,Hero Supermarket/ Giant,Jl. D. Toba 1,25,17,42,Perdagangan/ Retail
845,"Indomarco Prismatama, PT.",Jl. Trunojoyo 22-24,5,3,8,Perdagangan/ Retail
846,"Indomarco Prismatama, PT.",Jl. M. Sungkono,1060,89,1149,Perdagangan/ Retail
847,"Indomarco Prismatama, PT.",Jl. Laks. Martadinata 181,6,3,9,Perdagangan/ Retail
848,"Indomarco Prismatama, PT.",Jl. S. Supriyadi,5,3,8,Perdagangan/ Retail
849,"Indomarco Prismatama, PT.",Jl. Soekarno Hatta Kav. A-7,8,5,13,Perdagangan/ Retail
850,"Matahari Dept.Store, PT.",Jl. Kyai Tamin Komp. Pasar Besar Lt. 2,28,112,140,Perdagangan/ Retail
851,"Matahari Putra Prima, PT.",Jl. Veteran 2,76,77,153,Perdagangan/ Retail
852,Midi Utama Ind.,Jl. Ters. Dieng 51,12,6,18,Perdagangan/ Retail
853,Midi Utama Ind.,Jl. Supriyadi 240,12,8,20,Perdagangan/ Retail
854,Midi Utama Ind.,Jl. A. Yani 85,10,11,21,Perdagangan/ Retail
855,Midi Utama Ind.,Jl. Sukarno Hatta 20,11,6,17,Perdagangan/ Retail
856,Midi Utama Ind.,Jl. Kol. Sugiono 58,10,10,20,Perdagangan/ Retail
857,Midi Utama Ind.,Jl. D. Bratan 2 J/17,8,11,19,Perdagangan/ Retail
858,Midi Utama Ind.,Jl. Supriyadi 53,10,11,21,Perdagangan/ Retail
859,"Ratu Idaman Pratama, PT.",Jl. KH. Agussalim 18,50,80,130,Perdagangan/ Retail
860,Trend Shop Malang,Jl. S. W. Pranoto 25,26,53,79,Perdagangan/ Retail
861,"Rekso Nasional Food, PT.",Jl. Brigj. Slamet Riyadi 1-3,30,15,45,Perdagangan/ RM
862,"Happy Cendrawasih Motor, CV.",Jl. S. P. Sudarmo 29,5,2,7,Perdagangan/ Sepeda Motor
863,"Mitra Pinasthika Mustika, PT.",Jl. Supriyadi 42,15,5,20,Perdagangan/ Sepeda Motor
864,"Mitra Pinasthika Mustika, PT.",Jl. B. Rahmad 71-73,21,9,30,Perdagangan/ Sepeda Motor
865,Rodasakti Suryaraya,Jl. A. Yani 20 A-B,0,0,0,Perdagangan/ Sepeda Motor
866,"Sarana Mas Sejahtera, CV.",Jl. Gatot Subroto 9C,24,5,29,Perdagangan/ Sepeda Motor
867,"Trijaya Utama manunggal, PT.",Jl. Satsui Tubun 44 Kav. C1,5,3,8,Perdagangan/ Sepeda Motor
868,"Amasar Inti Nusantara, PT.",Jl. Raya Langsep 1,6,14,20,Perdagangan/ SPBU
869,Sahabat Membangun Bersama / SPBU,Jl. Bendungan Sutami 1,22,10,32,Perdagangan/ SPBU
870,SPBU,Jl. M. Sungkono,14,0,14,Perdagangan/ SPBU
871,SPBU,Jl. Soekarno Hatta,6,6,12,Perdagangan/ SPBU
872,SPBU,Jl. D. Toba/ Dirgantara,12,9,21,Perdagangan/ SPBU
873,SPBU,Jl. Raya Tlogomas 45,30,14,44,Perdagangan/ SPBU
874,SPBU,Jl. Bandung 5C,23,6,29,Perdagangan/ SPBU
875,SPBU,Jl. Ki Ageng Gribig,16,7,23,Perdagangan/ SPBU
876,SPBU,Jl. Terusan Sulfat,15,20,35,Perdagangan/ SPBU
877,SPBU,Jl. Yulius Usman 27,24,8,32,Perdagangan/ SPBU
878,SPBU,Jl. Supriyadi 38 A,12,12,24,Perdagangan/ SPBU
879,SPBU,Jl. Lowokdoro,13,0,13,Perdagangan/ SPBU
880,SPBU,Jl. P. Sudirman,18,1,19,Perdagangan/ SPBU
881,SPBU,Jl. R. P. Suroso 22,14,2,16,Perdagangan/ SPBU
882,SPBU,Jl. R. P. Suroso 10 B,14,16,30,Perdagangan/ SPBU
883,SPBU,Jl. Kol. Sugiono,14,0,14,Perdagangan/ SPBU
884,SPBU,Jl. Kol. Sugiono 176 B,16,10,26,Perdagangan/ SPBU
885,"Staba Patria Kencana, PT.",Jl. R. Intan,18,0,18,Perdagangan/ SPBU
886,"Maltoraya, UD.",Jl. RP. Suroso 16,5,1,6,Perdagangan/ Sub Distributor
887,"Sinar Sosro, PT.",Jl. M. Sungkono 99,35,0,35,Perdagangan/ Teh
888,"Sriwijaya Air, PT.",Jl. Letjend. S. Parman 59B,5,12,17,Perdagangan/ Ticket
889,Smooth cafe karaoke,Jl. terusan raya dieng 36,19,2,21,perdagangan/karaoke
890,PT. Amzar Karya,Jl. Bandara Palmerah VI/A-21,4,5,9,Perdagangan
891,PT. Mustika Zidang Karya,Jl. Bandara Palmerah VI/G-20,4,5,9,Perdagangan
892,Javanine Restaurant,Jl. Pahlawan Trip A-5,33,20,53,Perdagangan
893,PT. Royal Abadi Jaya Raya,Jl. Bandulan Gang VIII B No. 21,7,3,10,Perdagangan
894,PT. Richeese Kuliner Indonesia,Jl. Arjuno No. 2,15,12,27,Perdagangan
